id,name,min_marks,max_marks,total_time,created_at,updated_at
424ec81f-be91-4c11-afc5-125139e73d31,Cover,13,72,86,2024-06-09 14:01:36,2024-09-05 16:45:49
c61d56c5-1743-42bf-83d4-51254da862cc,Us,10,93,156,2024-07-15 17:54:33,2024-07-21 23:46:50
ed8f3647-a625-4281-9578-1eb53e29ac71,Him,20,86,180,2024-02-09 12:01:39,2024-05-29 19:08:18
b3db3e77-2072-4880-88ee-a6b4a43ee9a5,Education,11,99,153,2024-01-28 17:34:29,2024-04-27 05:54:58
b79994f0-da8a-4d1b-8ae3-8acac6ca177d,Blue,17,100,113,2024-01-29 06:10:43,2024-10-19 13:28:06
8aa5be08-79e0-4cc3-98de-58580e4dfd12,Father,10,68,168,2024-05-11 07:42:13,2024-05-28 22:05:28
7f989de5-503f-4d4d-bc90-224de0aef8da,Discuss,15,76,108,2023-11-18 09:12:18,2024-07-18 14:26:33
6cbef879-dbe8-4a2b-9b24-3c2a8b870815,Interesting,19,74,100,2024-05-20 23:37:17,2024-09-18 19:31:56
6b1939e3-5be2-4fbd-ae53-33d5252d12fa,Everybody,17,67,90,2024-03-14 08:19:04,2024-06-05 13:52:49
4c69a447-db42-46f0-a045-8dc2ed3eaaca,Step,12,77,97,2024-03-21 19:24:29,2024-09-21 08:41:46
325a7cd9-a3fd-40bf-a770-7356a4e7b1a0,Never,6,92,84,2024-07-08 21:42:56,2024-10-17 20:30:51
e9639701-9a01-4a93-ad26-bb1b3fe88069,Town,25,74,134,2024-01-23 09:34:56,2024-07-04 16:50:27
63a9095d-2882-47da-a85e-7f0210bbe1ad,Weight,23,97,75,2024-01-28 11:40:46,2024-06-13 03:33:06
7b605f6d-fa2e-497e-a459-84c091559b17,Picture,12,120,152,2024-07-27 22:59:13,2024-10-02 18:24:12
705f51d0-2a2a-401d-a417-23813726c74a,Available,6,69,82,2024-01-08 19:35:06,2024-09-14 18:03:50
6198aed2-d1f6-4583-be2e-b00a68c8e7bd,International,10,76,152,2023-12-13 16:18:40,2024-01-02 20:01:49
61323b5f-c5a8-46b2-8144-999e01c55958,Memory,1,75,87,2024-02-27 15:17:43,2024-08-19 13:35:10
38d1a0cf-370e-4154-91eb-886d35fb3f07,Glass,1,83,155,2024-02-03 15:49:57,2024-08-04 01:58:17
419d0140-2a10-4be0-8842-ce888399924d,Condition,12,80,115,2024-01-16 13:52:36,2024-07-02 16:38:03
0f097b6b-4e7a-4203-a172-fb17125a098d,Stage,8,63,112,2024-04-27 16:52:03,2024-06-10 19:30:10
48aa0a14-7d7c-44d8-9554-887120d937d1,Door,30,69,172,2023-11-11 18:34:36,2024-07-20 15:55:03
ae3111e1-4867-4eec-8060-b8caaf0b0cfb,Hope,19,72,124,2023-11-17 19:11:30,2024-01-12 17:29:40
521fa4c4-235e-4525-95c0-2bc9c4a05bb6,Ever,27,86,174,2024-03-22 09:01:51,2024-04-11 20:01:22
bf171e2e-0dc5-4527-8907-5e8a8482d97a,Different,5,64,87,2024-05-24 13:29:47,2024-06-21 21:45:16
9186bf6c-c2e4-424f-93f8-0bac7b877c80,People,28,85,135,2023-10-26 21:00:18,2024-01-27 21:59:31
3b212c98-c858-4726-9685-f18b3120bca4,Information,7,94,158,2024-06-12 12:32:04,2024-07-12 14:01:33
75181ddc-61a5-4fa5-8ab6-72203d2534a1,Race,26,60,129,2024-01-18 23:37:51,2024-04-04 20:17:01
2a5980ba-4e5f-48eb-be82-95be78a8ee78,Always,11,66,161,2024-05-03 18:20:39,2024-05-10 10:48:25
6388b9dd-24c7-4ab3-b7ef-3602a9f12012,Impact,23,75,72,2024-09-03 01:19:27,2024-09-06 20:48:42
0fe3840f-bb6a-4b33-816d-67736570cd72,Chair,13,71,147,2023-12-08 17:43:38,2024-10-10 19:03:56
62b2ca86-b181-4945-ad94-4758f07b09bd,Think,27,99,89,2024-02-23 22:42:17,2024-03-26 00:54:31
bbfaf797-ec1c-42d2-91e3-cecb6197b14c,Class,26,93,84,2023-10-27 16:26:08,2024-02-10 02:44:16
063e4d8f-8612-4618-ace9-753eddcc7b47,Should,13,84,154,2024-01-14 23:48:13,2024-07-06 00:37:13
a22f1dff-5169-4782-a6cb-9ce08f0d01f6,Marriage,3,89,127,2023-12-15 18:13:26,2024-01-01 18:39:41
f565baaf-181f-48fb-8328-47531e4b7ab2,Military,5,71,107,2024-06-15 16:25:03,2024-09-26 03:07:50
bfc0c492-bab1-406c-9da6-e32dd7003745,Another,24,96,115,2024-04-12 09:29:32,2024-08-01 04:25:39
7ab1a350-5846-4b9e-a4c1-4bdd67771e16,Bit,21,99,109,2024-03-25 06:44:45,2024-05-26 19:24:37
53eba491-dd21-48ae-ad02-261d84271079,Similar,14,78,150,2023-12-16 23:34:36,2024-04-19 08:47:00
0d5b40c5-b8bf-4bbd-85eb-36069e50dc90,Hope,27,72,147,2024-05-21 16:24:31,2024-07-03 11:33:40
2ef00b85-9ef1-4787-8bce-82d49eb88601,Condition,23,69,148,2023-12-28 01:01:11,2024-03-07 03:00:06
9616be77-5fc1-4115-98bb-b7b1b10a3656,Benefit,25,94,94,2023-12-13 04:12:03,2024-02-20 04:02:19
3da85fdc-822d-4c78-a1e8-98ef714fc751,Difficult,0,85,168,2023-10-31 12:41:28,2024-05-06 21:15:19
bdee3845-dd54-4275-866c-d409b851907e,Hospital,9,83,164,2023-12-26 01:44:21,2024-03-31 08:35:45
78ae20a0-45d0-407a-93d9-51950a2aa795,Along,0,79,89,2024-04-22 17:32:18,2024-08-03 13:22:28
cff69132-0633-45da-a0e9-4ee7d595b387,Include,15,68,68,2024-03-09 09:40:17,2024-03-23 01:03:23
d176d76b-3c96-4a34-887c-eaa4af29e06a,Next,24,96,81,2023-11-06 21:24:08,2024-05-11 00:29:32
34935a88-5ce3-4daf-af4d-75e9a735c74c,Offer,10,65,132,2024-08-16 14:23:34,2024-09-09 11:56:39
0737cb34-9814-4692-8cbe-605bbec930f3,Type,28,83,114,2024-02-26 01:03:13,2024-06-17 02:47:47
abed156c-a2b3-4d13-ae05-7528679cf7ac,Society,16,100,180,2023-11-10 18:09:02,2024-03-01 17:48:11
410535ff-0d40-489f-a69b-4eb65ec79dc7,Hand,1,60,129,2023-11-29 21:16:11,2024-10-20 00:33:25
afbc24b1-0273-41f3-b9f0-700f3ca291aa,Most,11,93,144,2024-02-05 13:27:46,2024-04-27 06:09:41
7c36a34f-c448-4454-885b-8340dbc29d98,Admit,18,75,110,2023-12-22 22:09:11,2024-05-11 11:57:29
32ddd72b-40c5-419f-8ecf-bb1d9c2eefe5,Foot,3,87,146,2024-05-16 21:44:40,2024-09-22 00:15:56
788322f2-81fd-4a27-9fc5-78aa99f17226,Including,8,67,95,2024-01-13 04:01:46,2024-06-30 22:11:11
8459e726-818f-4a95-9719-8a20901302c8,Commercial,25,73,118,2023-10-22 09:00:48,2024-02-11 16:03:40
e56383e6-0fb2-49a2-8e1d-cd32ed288619,History,29,120,118,2024-02-06 13:09:59,2024-09-24 05:33:13
f1aac6de-2908-48ba-9e34-44a21bf615fa,Make,9,62,151,2023-12-22 15:56:59,2024-07-20 22:23:42
d4df7abf-a690-4796-aa1b-10d2f9a06db5,Something,29,99,74,2024-01-15 05:50:27,2024-04-03 22:04:08
